python-7/_strptime-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-7/_struct-segmentation_fault-exitcode1	NOREPRO	?	;
python-7/_warnings-exitcode1-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_PyVectorcall_Call@Objects/call.c:273;
python-7/_warnings-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_PyVectorcall_Call@Objects/call.c:273;
python-7/_strptime-segmentation_fault-4	SIGABRT	clear_freelist@Objects/object.c:909	clear_freelist@Objects/object.c:909;_PyGC_ClearAllFreeLists@Python/gc_free_threading.c:2902;_Py_HandlePending@Python/ceval_gil.c:1399;
python-7/ast-segmentation_fault	SIGABRT	fatal_error_exit@Python/pylifecycle.c:3517	fatal_error_exit@Python/pylifecycle.c:3517;fatal_error@Python/pylifecycle.c:3742;_Py_FatalErrorFunc@Python/pylifecycle.c:3765;
python-7/asyncio-segmentation_fault-2	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-7/asyncio-segmentation_fault-3	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCall_StackRefSteal@Python/ceval.c:726;
python-7/asyncio-segmentation_fault-4	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-7/asyncio-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-7/asyncio_events-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCall_StackRefSteal@Python/ceval.c:726;
